Altium Designer Pick and Place Locations
C:\Users\podonoghue\Documents\Development\DigitalLabBoard\PCB_Design\DigitalLabBoard_V4 6-03-2020 1-18-22 PM\Pick Place for DigitalLabBoard.csv

========================================================================================================================
File Design Information:

Date:       06/03/20
Time:       13:18
Revision:   fc5928c950f66233d0763c738c6b4f68bac3f9e7
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"M8","OLED_Surround","TopLayer","OLED_SURROUND","964.567","3909.528","0",""
"R45","100R","TopLayer","CR1608-0603","-338.000","1614.000","0","Resistor SMT 0603"
"R44","100R","TopLayer","CR1608-0603","-338.000","1669.000","0","Resistor SMT 0603"
"R43","100R","TopLayer","CR1608-0603","-338.000","1724.000","0","Resistor SMT 0603"
"R42","100R","TopLayer","CR1608-0603","-338.000","1779.000","0","Resistor SMT 0603"
"R28","33R","TopLayer","CR1608-0603","3170.000","526.000","360","Resistor SMT 0603"
"C8","2.2uF","TopLayer","CCNP1608-0603","3170.000","428.000","360","Capacitor"
"R39","1K","TopLayer","CR1608-0603","-425.000","2959.960","180","Resistor SMT 0603"
"D_Pass","LED Green","TopLayer","LED1608-0603-GREEN","-425.000","2902.165","360","LED 0603 Green"
"R41","1K","TopLayer","CR1608-0603","-430.000","2736.000","180","Resistor SMT 0603"
"D_Fail","LED Red","TopLayer","LED1608-0603-RED","-430.000","2681.000","360","LED 0603 Red"
"RN19","1K","TopLayer","CR1206-0603_X4_N","3861.012","1172.000","270","SMT x4 Resistor Array"
"R37","10K","TopLayer","CR1608-0603","-310.000","2515.000","180","Resistor SMT 0603"
"Z11","CM1293A-04SO","TopLayer","SOT457_N","-343.000","1468.000","360","Ultra low capacitance quadruple rail-to-rail ESD protection"
"P9","Header, 6-Pin","TopLayer","HDR1X6S","-334.331","2154.960","90","Header, 6-Pin"
"RN15","470R","TopLayer","CR1206-0603_X4_N","3674.953","920.141","270","SMT x4 Resistor Array"
"C14","100nF","TopLayer","CCNP1608-0603","1208.000","3430.000","270","Capacitor non-polar SMT 0603"
"Z10","CM1293A-04SO","TopLayer","SOT457_N","1590.000","3350.000","0","Ultra low capacitance quadruple rail-to-rail ESD protection"
"Z4","CM1293A-04SO","TopLayer","SOT457_N","1362.417","4019.960","360","Ultra low capacitance quadruple rail-to-rail ESD protection"
"Z3","CM1293A-04SO","TopLayer","SOT457_N","1362.417","3839.960","360","Ultra low capacitance quadruple rail-to-rail ESD protection"
"RN12","470R","TopLayer","CR1206-0603_X4_N","3668.417","3589.960","270","SMT x4 Resistor Array"
"Z5","CM1293A-04SO","TopLayer","SOT457_N","3299.417","3779.960","0","Ultra low capacitance quadruple rail-to-rail ESD protection"
"R31","33R","TopLayer","CR1608-0603","3170.000","477.000","360","Resistor SMT 0603"
"M6","Plastic Bumper","BottomLayer","BUMPER_RBS-2","-1335.583","-1060.040","180","Plastic bumper/foot"
"M2","Plastic Bumper","BottomLayer","BUMPER_RBS-2","-1335.583","-1060.040","180","Plastic bumper/foot"
"R40","470R","TopLayer","CR1608-0603","3284.000","739.560","360","Resistor SMT 0603"
"U2","PCA9555PW,118","TopLayer","TSSOP24_N","3583.417","1569.960","270","16-bit I2C I/O Expander (TSSOP24)
PUPs on I/O pins"
"C13","100nF","TopLayer","CCNP1608-0603","222.685","742.960","90","Capacitor non-polar SMT 0603"
"P1","Header 2x8","TopLayer","HDR2X8S","3865.984","3389.960","90","Header 2x8"
"D_AEW","LED Yellow","TopLayer","LED1608-0603-YELLOW","5095.992","3099.960","90","LED 0603 Yellow"
"D_ANS","LED Yellow","TopLayer","LED1608-0603-YELLOW","5085.992","3689.960","180","LED 0603 Yellow"
"D_GEW","LED Green","TopLayer","LED1608-0603-GREEN","5145.992","3099.960","90","LED 0603 Green"
"D_GNS","LED Green","TopLayer","LED1608-0603-GREEN","5085.992","3739.960","180","LED 0603 Green"
"D_PEW","LED Green","TopLayer","LED1608-0603-GREEN","4975.992","2954.960","90","LED 0603 Green"
"D_PNS","LED Green","TopLayer","LED1608-0603-GREEN","4360.992","3209.960","360","LED 0603 Green"
"D_REW","LED Red","TopLayer","LED1608-0603-RED","5045.992","3099.960","90","LED 0603 Red"
"D_RNS","LED Red","TopLayer","LED1608-0603-RED","5085.992","3639.960","180","LED 0603 Red"
"S_CNW","SMD-SW-4_5.1x5.1x2.0_M","TopLayer","SMD-SW-4_5.1X5.1X2.0_M","4905.992","3839.960","270","Tactile Switch SPST 5.10mm X 5.10mm
(1.5mm=C318884)
(2.0mm=C318888)
(3.5mm=C318886)"
"S_CEW","SMD-SW-4_5.1x5.1x2.0_M","TopLayer","SMD-SW-4_5.1X5.1X2.0_M","5245.992","3279.960","180","Tactile Switch SPST 5.10mm X 5.10mm
(1.5mm=C318884)
(2.0mm=C318888)
(3.5mm=C318886)"
"S_PNS","SMD-SW-4_5.1x5.1x2.0_M","TopLayer","SMD-SW-4_5.1X5.1X2.0_M","4365.992","3779.960","360","Tactile Switch SPST 5.10mm X 5.10mm
(1.5mm=C318884)
(2.0mm=C318888)
(3.5mm=C318886)"
"S_PEW","SMD-SW-4_5.1x5.1x2.0_M","TopLayer","SMD-SW-4_5.1X5.1X2.0_M","4405.992","2959.960","90","Tactile Switch SPST 5.10mm X 5.10mm
(1.5mm=C318884)
(2.0mm=C318888)
(3.5mm=C318886)"
"R20","1K","TopLayer","CR1608-0603","5045.992","2971.771","90","Resistor SMT 0603"
